frame,x_sp_ma,y_sp_ma,z_sp_ma,x_sp_lp,y_sp_lp,z_sp_lp,x_sift_ma,y_sift_ma,z_sift_ma,x_sift_lp,y_sift_lp,z_sift_lp
12,1.3503521090982589,1.737340816105794,0.3087763325320387,1.2616438481352332,1.590211687083064,0.5218422971003415,4.464370074598687,6.335766665525199,1.8491871677500789,3.7926740118374367,7.362306291009355,2.7224367696144443
13,1.7159884126596314,1.77167449623671,0.3254622433377995,1.6061621051284867,1.6106978521016586,0.5623699633431685,5.454943465294094,5.41142867297494,1.9596094672480318,4.681511676937581,6.062673702340577,2.883459468178343
14,2.0911484643466736,1.7313851269277922,0.3745710297151854,1.9593958569892167,1.559806540747527,0.6359207188689948,6.238789689453815,4.7414881953072205,2.0900608070501328,5.064973670318641,5.545864350540171,3.0323250292853343
15,2.458831870196401,1.6237173785637578,0.45647367377989456,2.303294589124975,1.4497835085605477,0.7376682681614465,6.113259632771936,4.076328300045066,2.2377202136370005,5.248221149627976,4.664092204211693,3.1440325937802203
16,2.8210680789360483,1.476284528185789,0.5687492659515745,2.651160549659801,1.3081743620651543,0.8579127980176349,6.015192622231856,3.1847163216588825,2.357255735045941,5.2579916032110985,3.834730121521196,3.2535316499445055
17,3.1898554977568634,1.3131777781963012,0.7093844008730679,3.010584709129569,1.1507797787373508,0.9910285998763636,6.094049497834599,2.3252262113406044,2.407875846938023,5.657373169355046,3.1304695609200976,3.2900222254840306
18,3.5725572965158148,1.1416736367743099,0.8785519793020591,3.378852034542613,0.9907248429793414,1.135033149184844,5.860619045962594,1.1762685066303005,2.5038954269666767,5.724098991934225,2.1268257449467978,3.4054515946044135
19,3.96270700679744,0.9714764122747575,1.0749107860898457,3.757397189855387,0.8271397938163975,1.2902792490135935,5.398464608260834,0.0421785929689833,2.6501869883463307,5.469875463794682,1.2837048843378325,3.589637110634505
20,4.3589328809689905,0.8047493644660608,1.2730282241696385,4.140182233938761,0.6614134994909149,1.4535231459741536,5.118063877306566,-0.2162991721211318,2.841470304274104,5.082649521966535,0.6410844966577737,3.8216384849775413
21,4.762396735470066,0.6376840117553819,1.4677165130207943,4.528915278954238,0.49303619729013115,1.6187303550517793,5.12436339114648,-1.383249530946907,3.0530084019913875,5.288292405746579,-0.4998471635497638,4.0739769371819925
22,5.168118753941234,0.46257232509948354,1.6499259165057758,4.917256356763438,0.31929364467183935,1.776436204017565,5.23225131833333,-2.11377013628655,3.3027893879611727,5.492095931775028,-1.215495795233343,4.3153847363100475
23,5.5739713835444755,0.27696046315855355,1.8094328198156038,5.3103919652743725,0.13859058405371136,1.9069737951041057,5.294863668079373,-2.4987184174053647,3.600633688366062,5.531099628164721,-1.4105773785002254,4.592834258042744
24,5.97714277019252,0.09275737620044242,1.9408074374197886,5.7053663613683945,-0.040874040721514876,2.0111334430791175,5.147359554532627,-2.4926559383647393,3.9639945063148168,5.681872538944663,-1.0782367849743906,4.864501452300364
25,6.382102307687238,-0.09240496010245974,2.039211841819642,6.101532574292538,-0.2226401487998101,2.0882125197956007,4.6792616952502755,-2.7713015863392165,4.344045780113943,5.073262908018433,-1.6389587335279092,5.19640365990158
26,6.788127187263264,-0.2784297789220347,2.106423834734186,6.500501154078992,-0.4084201469970431,2.1460799865263356,4.304541067791895,-3.3435348988829032,4.644247607116979,4.403175434165492,-2.515840173224139,5.443772483667389
27,7.18887844517087,-0.46996868784645035,2.1495556276717327,6.89312146351733,-0.6007047162090282,2.1982946707019106,4.165156647842808,-3.987875180971022,4.903279978886334,4.022751304635354,-3.2747096309385255,5.665362909480361
28,7.5918748266120115,-0.6669601498755708,2.165678513700011,7.2876593604702755,-0.7952869875814816,2.2376678429004073,3.852941694951105,-4.200329006788028,5.106207213323189,3.9414421737618106,-3.9382161389289334,5.829017205324095
