frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
29,0.6989610880502378,2.3078348811093017,0.5964661877958819,2.4091252254015663,-13.871972547453165,5.165237049557434,-13.54664631136758,5.860034737567255
30,0.7685044714863314,2.3138628545561613,0.6593652170707766,2.447611587955576,-14.501293720197177,5.223471617086848,-13.731695597196829,5.90816690110457
31,0.8310450312893263,2.3505787216426817,0.7167340925897631,2.5215699513523253,-15.411138282826935,5.256951296646425,-13.793834448589871,5.961049927168096
32,0.88903937804445,2.4175227674952087,0.7695335357526835,2.6182641201932086,-15.503763949326272,5.244368828715088,-13.790345880851374,6.042757437518993
33,0.9437394972083598,2.5092505342836318,0.8213685413458895,2.727989210968118,-15.282438422060363,5.289413521157316,-13.804284299291693,6.166775830142467
34,0.9982519886882971,2.616120818435675,0.8734679595276522,2.8444850926613423,-15.084529529481342,5.287131266897196,-13.814089194289892,6.229306198123937
35,1.044137080897272,2.7493315224360195,0.9216472950478638,2.9747648144902477,-14.942898393285478,5.306818680828603,-13.815862544914632,6.298235448426683
36,1.08245505602012,2.905736166151728,0.9654367559933593,3.1116665362415845,-14.325555637280765,5.366097802838717,-13.77407163251967,6.353663882825495
37,1.1196344561287457,3.060499318987615,1.006673787382952,3.226406111175132,-14.378098472951688,5.447346593040358,-13.987328791728363,6.416911586262115
38,1.160991632938806,3.186235417522976,1.052593018336985,3.3209357094770255,-14.703995575126317,5.575755660169536,-14.454621809979104,6.548023340543805
39,1.2073586600309296,3.284123356893635,1.1029623837317704,3.394517290670322,-14.982886309643128,5.7259182891607345,-14.709382447649268,6.722286876806589
40,1.2540568040173898,3.356514896014096,1.1534754121042414,3.450332861618599,-15.280580927586518,5.842275971209303,-14.956217830119035,6.873224673976992
41,1.3006490302720588,3.4079808419856974,1.2043439717140492,3.4943485445916425,-15.868128875325993,6.062522943627655,-15.55791543437244,7.102693379403851
42,1.3508764125632775,3.4312816033325664,1.2566278388278664,3.5272128489697776,-16.489222053400674,6.3238665472993185,-16.08016627487063,7.362708583417546
