frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
23,0.7351674902871245,-3.0358461714641676,-0.441768719744178,-3.0564393756045325,3.4025628361925984,5.703941414460256,2.1295521314999855,4.238664747844706
24,0.7808565124637842,-3.1559359808271283,-0.49087509739643825,-3.170423692973084,3.362730435513208,5.679865494045779,2.1397277866080366,4.2526076020263925
25,0.8355669750174165,-3.2432255645688794,-0.5438754702343368,-3.261380895469259,3.3230116343966607,5.695879100588903,2.151887098496486,4.2952646566502395
26,0.8851428209895802,-3.3032557492217536,-0.5949099575564671,-3.336823556986613,3.2907754744147337,5.728813120817657,2.1451440557664556,4.338736957398859
27,0.9359305990757983,-3.345469252366438,-0.6415788098544257,-3.4096305082013556,3.311207472855248,5.785331753031262,2.2186986662283714,4.395638653959643
28,0.9866345716418748,-3.391711114883914,-0.6884805835529132,-3.494780626042361,3.4184989305025937,5.85018221945064,2.433923438629779,4.459248903369247
29,1.033265347859294,-3.4597811459915135,-0.732318638122146,-3.604892090520578,3.7099875463125502,5.9359265292762915,2.7882026262143027,4.546210869822344
30,1.0768475670495463,-3.561031206369103,-0.7748961064101598,-3.7468766409009744,3.9740870878388392,5.9973345562538825,3.0144228795785706,4.583686633932117
31,1.115022660023874,-3.6971533428377374,-0.8109209481640332,-3.9135300660901513,4.278326078133732,6.02985436090321,3.273647753927304,4.5742241065422355
32,1.1459215194615617,-3.8670755197851348,-0.8431751999512017,-4.093563103818745,4.5470000876170555,6.0378955119848365,3.4341735171601977,4.563767425369602
33,1.1717229505073925,-4.063312661186844,-0.8703508442574941,-4.277182856745726,4.802297879016777,6.013384428367844,3.5283943058583334,4.519089601387041
34,1.19776169291532,-4.275106462014206,-0.8984336900379303,-4.458564204940346,5.007673309186594,5.94706043670535,3.6128861690817704,4.447094107011853
35,1.2217384310461816,-4.484036452262294,-0.9274956251614179,-4.626421136636617,5.096815233902622,5.850686784010944,3.6738599237034353,4.365407964601099
36,1.2444242882197976,-4.671654688348242,-0.9553359414020528,-4.773039870100481,5.052882077133157,5.719461520731112,3.718959824616099,4.287478449155977
37,1.2679115547121562,-4.827141451454687,-0.9862447066126014,-4.899300122826229,5.01457342106418,5.62582786207674,3.7056536892664904,4.245637148287823
38,1.2964260497711224,-4.94896460875249,-1.0199870513876426,-5.006425289388174,4.915627310604605,5.572302905205366,3.688200715078161,4.228717405870224
39,1.33092579521799,-5.037852136734363,-1.0586210750689058,-5.091744237967699,4.851720412145219,5.523798689415694,3.675764476988626,4.219437587485327
40,1.3698200204182913,-5.097290767201755,-1.097154135896163,-5.158897906400852,4.806584074760859,5.5095214030963175,3.6584397742187056,4.223621972731001
41,1.4084706138500582,-5.133851876306744,-1.133958181301684,-5.2150483364244655,4.740715369404225,5.521193805616754,3.6247193095971375,4.227069169182256
42,1.4480724147872115,-5.154563717509455,-1.1713287666327803,-5.260531558520739,4.7524724120964805,5.557294985093579,3.699799249211243,4.2399374671716
