frame,x_sp_ma,z_sp_ma,x_sp_lp,z_sp_lp,x_sift_ma,z_sift_ma,x_sift_lp,z_sift_lp
1892,-0.645055217101363,7.434376707582992,-0.42036803223394525,7.68012459372275,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1893,-0.645055217101363,7.434376707582992,-0.42127474708484175,7.681824984230652,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1894,-0.645055217101363,7.434376707582992,-0.42199940431406985,7.683185598743501,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1895,-0.645055217101363,7.434376707582992,-0.4225786726208097,7.684274283526686,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1896,-0.645055217101363,7.434376707582992,-0.4230417944301501,7.6851453548941375,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1897,-0.645055217101363,7.434376707582992,-0.42341210443645405,7.685842291008315,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1898,-0.645055217101363,7.434376707582992,-0.4237082324657954,7.68639989044906,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1899,-0.645055217101363,7.434376707582992,-0.42394505809798494,7.686846002341222,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1900,-0.645055217101363,7.434376707582992,-0.42413446945381694,7.687202912546104,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1901,-0.645055217101363,7.434376707582992,-0.42428596708074345,7.687488453949187,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1902,-0.645055217101363,7.434376707582992,-0.4244071450484151,7.687716895543109,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1903,-0.645055217101363,7.434376707582992,-0.42450407453640665,7.68789965423915,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1904,-0.645055217101363,7.434376707582992,-0.42458160987942645,7.688045864664937,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1905,-0.645055217101363,7.434376707582992,-0.42464363287540025,7.688162835225479,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
1906,-0.645055217101363,7.434376707582992,-0.4246932478939135,7.688256413094547,6.032535505207382,3.031620497470167,6.061815544962049,3.0159516188603157
