frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
42,0.05022738229121869,-0.34662262010589545,0.023300761346869196,0.05228386711381727,-0.3564098067207831,0.03286430437813527,-0.6210931780746819,-0.11674297077332867,0.26134360367166415,-0.5222508404981926,-0.30069979811451114,0.2600152040136953
43,0.056035619219713326,-0.3618204667811368,-0.0003693008895583279,0.0552046179202726,-0.36285018205662006,0.025831300659722237,-0.5823469735011576,-0.13220647966387442,0.31574017903994506,-0.32034639310086643,-0.22692703330267439,0.2844524028831647
44,0.06154153996726299,-0.3712961652451547,-0.005610865319902918,0.05807744601598386,-0.36784626224702366,0.01854504785777375,-0.3261295802122475,-0.3304885577925076,0.27697460332605917,-0.14426265300088192,-0.18023434465299173,0.19219507222466187
45,0.06029066844696463,-0.37647717512731127,-0.008188613439433766,0.05773236503366877,-0.36868937818458086,0.014154567346718919,-0.05442855495736667,-0.4387685183514337,0.21077787237038598,-0.03265243688226062,-0.05234498854293183,0.14185697498081168
46,0.05927997385886885,-0.38206619252897933,-0.007003006419992294,0.05838170201479782,-0.370782722760445,0.010863511034589155,-0.24242418671500715,-0.3164608866845131,0.185121905142996,-0.16974790552577124,0.11197940833514695,0.14690559747270268
47,0.06068415503796173,-0.38295470620797095,-0.0014492310244929377,0.058898979083033424,-0.3729620143914406,0.013413347628256645,-0.2439650163343097,0.13593242700907765,0.17997016041671862,-0.1810254281635595,0.037896764788046294,0.1218505420282194
48,0.06019688345340281,-0.38336647792867806,0.005509088527837458,0.05685468908629534,-0.37591590902266514,0.01979085453636779,-0.006224661485396838,0.3305046131977356,0.11352558138236035,-0.21601547804797233,0.22399972170696353,0.11305561955614035
49,0.055647590608918475,-0.3832216840281504,0.030616368784333277,0.05070376071272935,-0.37782890928348223,0.048634633987889114,0.1659435353521046,0.2754380304594662,0.07619068277451167,0.027330336038654673,0.1621794984853321,0.11461587726613257
50,0.051378775009555754,-0.38505368494406184,0.05609857901397266,0.047964190960294445,-0.38255026538905534,0.07412265866902046,0.20329128118040796,0.26392175286798947,0.034618888882293704,0.1716053922882361,0.12725361534913268,0.1099324300360093
51,0.04663386411475185,-0.3898859060725442,0.08267141439147319,0.04564222919527587,-0.3903714384928471,0.09438010379371307,0.11925496350611799,0.25911118861448273,0.07901513077749653,0.13164793056639418,0.09637538431354452,0.11473383260022149
